time,FWI,tasmax,pr,sfcWind,scenario,h2o
2038,20.58165634286605,303.01398,5.4866486,3.2324207,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017754994
2039,16.54677604715307,302.53827,5.6552644,3.150183,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017717399
2040,19.672109075740718,303.03918,5.2489934,3.246625,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01765442
2041,23.889048879797777,303.6495,5.10234,3.0817478,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017679742
2042,18.13334806370746,302.99692,5.614537,3.1831152,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017790662
2043,24.547223891819208,303.26453,5.125827,3.232071,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017828336
2044,29.04732424261015,303.94894,5.5975337,3.1185143,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017865172
2045,17.804400111578296,302.95163,6.0372033,3.148557,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017975748
2046,24.543249748653075,303.8034,5.554566,3.0235832,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017762033
2047,23.43918571873168,303.229,5.3334174,3.3039372,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017666092
2048,20.714767388741468,303.24966,4.925569,3.0735734,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017773787
2049,31.687066889483123,304.15063,4.862211,3.2913654,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01783632
2050,22.007680002248218,303.1329,5.4088583,3.2263286,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017792353
2051,24.56927353650799,303.3246,5.975555,3.0940154,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017712157
2052,20.401709370529215,303.49307,5.515302,2.9241066,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017801208
2053,27.342346383270495,303.27737,5.2475038,3.1452606,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017671347
2054,22.861545292612302,303.0616,5.5197983,3.298664,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017912315
2055,23.15431478191415,303.21017,5.4998455,3.052727,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017635657
2056,18.29013629434303,302.25055,5.8581,3.2247858,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017650736
2057,21.071761922053454,302.45462,5.2097235,3.3782024,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017669022
2058,22.068565515529,303.20377,5.7955837,3.1242397,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017555635
2059,19.63018155844722,302.79898,5.4046907,3.1027546,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017649963
2060,20.770342601722987,303.00638,5.5376415,3.1813965,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017516889
2061,24.389123620680383,303.5052,5.805944,3.1509607,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017537503
2062,19.802070149085772,303.06152,5.748105,3.1731224,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017714238
2063,25.497796214133654,303.60263,5.338047,3.1581001,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01757548
2064,22.402894277879895,302.72726,5.071973,3.3298054,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017556913
2065,30.69606413733305,303.83347,4.891083,3.2423363,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017666759
2066,23.450825846211558,303.63022,5.762115,3.037505,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01780901
2067,16.2471706374876,302.63538,5.6496787,3.046424,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017597599
2068,21.067164154464827,303.12198,6.1921215,3.2196743,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01752461
2069,21.786796194773196,302.7159,5.0410795,3.2342157,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.01745177
2070,22.62255621755473,302.94592,5.4198766,3.3087444,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017486643
2071,20.52679091495362,302.78458,5.4061117,3.132325,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017528616
2072,22.358301323843264,302.93524,5.5390873,3.1571455,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017574245
2073,23.000471221562478,303.54776,5.2825627,3.146715,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017683325
2074,20.84234645428834,303.37207,5.7619257,3.1288407,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017631328
2075,20.622919091375564,303.24197,5.55003,3.066331,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017547064
2076,15.77599405551536,302.26187,6.2198668,3.191162,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017496452
2077,20.971920769846523,303.51236,5.6997232,3.1508262,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017649041
2078,21.2986103281918,303.60062,5.0912385,3.294906,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017564105
2079,19.848882051950955,302.8069,5.6928086,3.1473076,"SSP1-1.9 (""Sustainability - Very Low Emissions"")",0.017521461
